id,site_eui
75757,270.684170257489
75758,210.844291339389
75759,269.883474475253
75760,260.772939323348
75761,245.466126337375
75762,267.816434118519
75763,254.089007667135
75764,293.753216686473
75765,159.222137414907
75766,309.612828078654
75767,190.111174047894
75768,150.608422888768
75769,137.887459017516
75770,207.912358516826
75771,136.666513967595
75772,214.230538412082
75773,235.895925308286
75774,203.597723230121
75775,306.716600992876
75776,299.054109138047
75777,221.355173907368
75778,334.165764023004
75779,283.280707964026
75780,308.28961844561
75781,258.653944895916
75782,280.254355239581
75783,263.328711186025
75784,117.515931198032
75785,214.813139440594
75786,314.529171935778
75787,246.358764903486
75788,257.621934131022
75789,279.507200047455
75790,320.241345284603
75791,185.586960965573
75792,224.563992209545
75793,211.384157845639
75794,276.018035834658
75795,224.399363628965
75796,244.66986399155
75797,248.234730745677
75798,292.726564687874
75799,283.924145248302
75800,258.679239768615
75801,285.900516013037
75802,260.921275205509
75803,256.36253081706
75804,247.856851039448
75805,137.887459017516
75806,228.115861058492
75807,142.531037295706
75808,177.603887958232
75809,140.738339514563
75810,139.125618163211
75811,248.937581050983
75812,117.218927339955
75813,302.193509628482
75814,308.905157489212
75815,287.319598473463
75816,291.190985516838
75817,138.218749696789
75818,312.644811171849
75819,261.494635668746
75820,273.905175051789
75821,171.448535821018
75822,176.643996888192
75823,213.588361794859
75824,93.5951197895696
75825,235.938343915798
75826,137.887459017516
75827,137.887459017516
75828,137.887459017516
75829,137.887459017516
75830,137.887459017516
75831,137.887459017516
75832,137.887459017516
75833,137.887459017516
75834,137.887459017516
75835,137.887459017516
75836,137.887459017516
75837,137.887459017516
75838,137.887459017516
75839,137.887459017516
75840,137.887459017516
75841,137.887459017516
75842,137.887459017516
75843,137.887459017516
75844,85.539567884324
75845,91.751890613464
75846,137.887459017516
75847,137.887459017516
75848,137.887459017516
75849,137.887459017516
75850,137.887459017516
75851,137.887459017516
75852,137.887459017516
75853,137.887459017516
75854,137.887459017516
75855,137.887459017516
75856,137.887459017516
75857,53.2430012612256
75858,137.887459017516
75859,137.887459017516
75860,137.887459017516
