id,site_eui
75757,205.24256728718
75758,150.368299129677
75759,205.343042710048
75760,188.576493420346
75761,180.087762947636
75762,195.990638469687
75763,184.501105914691
75764,197.463679890476
75765,132.570386999738
75766,217.833791213749
75767,166.665227552344
75768,138.923578745754
75769,144.398587788401
75770,145.500565319403
75771,122.652494934364
75772,156.833044257206
75773,161.379649662399
75774,154.573593500466
75775,217.479869850914
75776,199.735779409822
75777,170.765823282817
75778,217.004690072503
75779,188.774040580016
75780,213.106706049677
75781,186.07970959681
75782,196.386731647221
75783,200.987109954847
75784,115.566339823989
75785,146.17948284538
75786,219.745441201544
75787,190.096538983724
75788,178.180093110641
75789,196.505402297972
75790,246.358033652463
75791,155.970089510709
75792,183.909714147202
75793,167.121650112696
75794,188.521982333532
75795,165.039775546729
75796,179.548599660024
75797,186.572394490685
75798,210.758656364332
75799,204.725335892993
75800,195.645124456182
75801,202.419162231808
75802,181.408987738528
75803,165.803315826973
75804,183.064762636418
75805,132.903695593562
75806,199.812299679776
75807,122.676588621225
75808,148.530702905777
75809,105.256699420523
75810,144.62813785017
75811,202.159979844683
75812,121.164908369856
75813,213.122724423434
75814,215.50575899663
75815,209.104866117416
75816,219.738376528743
75817,123.333633989823
75818,217.908502177521
75819,203.235739034198
75820,202.085378001851
75821,140.295671311606
75822,154.7837720385
75823,158.020290365691
75824,93.4102525154211
75825,191.83298843353
75826,135.614173203607
75827,49.8458864912999
75828,49.8431280953036
75829,51.5695820034589
75830,52.9512052006928
75831,61.7642245199221
75832,63.9038980334273
75833,63.4573156522861
75834,62.4802632727536
75835,63.140363168638
75836,51.6394063344909
75837,51.8172296306203
75838,50.7395983627304
75839,50.8393494399901
75840,51.770960714375
75841,67.9551260040698
75842,56.4104036220268
75843,52.2315317581253
75844,55.589798624841
75845,81.3075755948547
75846,53.326817831615
75847,54.3076766035501
75848,50.8393232274051
75849,52.1440622276228
75850,54.5449196789938
75851,52.2315317581253
75852,51.8461744644186
75853,59.4850708219734
75854,67.9551260040698
75855,50.3572316949416
75856,50.5587946464288
75857,56.0447222255127
75858,48.8899507465106
75859,53.4255637552628
75860,50.5587946464288
75861,59.4334263736251
75862,18.2329103482529
75863,47.5415597467127
75864,16.7149298441833
75865,21.1581060296101
75866,20.5371020198849
75867,15.3189265657734
75868,16.3879044222993
75869,13.6499462463239
75870,37.7301541310602
75871,33.4497199128518
75872,59.9102654475052
75873,49.4820496613838
75874,56.3518284347566
75875,51.6485039585244
75876,57.4990186738118
75877,56.5541237904982
75878,57.3591866541641
75879,56.5541237904982
